index,phase,source,copied_path,is_anchor,anchor_candidate_rank,anchor_candidate_score
1,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124505_0127_D.JPG,,0,3,0.8373
2,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124507_0128_D.JPG,,0,3,0.8373
3,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124509_0129_D.JPG,,0,3,0.8373
4,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124511_0130_D.JPG,,0,3,0.8373
5,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124513_0131_D.JPG,,0,3,0.8373
6,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124515_0132_D.JPG,,0,3,0.8373
7,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124517_0133_D.JPG,,0,3,0.8373
8,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,,1,3,0.8373
9,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124521_0135_D.JPG,,0,3,0.8373
10,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124523_0136_D.JPG,,0,3,0.8373
11,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124525_0137_D.JPG,,0,3,0.8373
12,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124527_0138_D.JPG,,0,3,0.8373
13,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124529_0139_D.JPG,,0,3,0.8373
14,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124531_0140_D.JPG,,0,3,0.8373
15,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124533_0141_D.JPG,,0,3,0.8373
16,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124535_0142_D.JPG,,0,3,0.8373
17,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124537_0143_D.JPG,,0,3,0.8373
18,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124539_0144_D.JPG,,0,3,0.8373
19,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124541_0145_D.JPG,,0,3,0.8373
20,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124543_0146_D.JPG,,0,3,0.8373
21,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124545_0147_D.JPG,,0,3,0.8373
22,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124547_0148_D.JPG,,0,3,0.8373
23,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124549_0149_D.JPG,,0,3,0.8373
24,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124551_0150_D.JPG,,0,3,0.8373
25,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124553_0151_D.JPG,,0,3,0.8373
